Time: 1745350473, Battery: 100%, Pitch: 0°, Yaw: 0.05°, Roll: 0°, Temperature: 22°C
Time: 1745350473, Battery: 100%, Pitch: 0°, Yaw: 0.1°, Roll: 0°, Temperature: 20°C
Time: 1745350474, Battery: 100%, Pitch: 0°, Yaw: 0.15°, Roll: 0°, Temperature: 15°C
Time: 1745350474, Battery: 100%, Pitch: 0°, Yaw: 0.2°, Roll: 0°, Temperature: 14°C
Time: 1745350475, Battery: 100%, Pitch: 0°, Yaw: 0.25°, Roll: 0°, Temperature: 12°C
Time: 1745350475, Battery: 100%, Pitch: 0°, Yaw: 0.3°, Roll: 0°, Temperature: 7°C
Time: 1745350476, Battery: 100%, Pitch: 0°, Yaw: 0.35°, Roll: 0°, Temperature: 4°C
Time: 1745350476, Battery: 90%, Pitch: 0°, Yaw: 0.4°, Roll: 0°, Temperature: 6°C
Time: 1745350477, Battery: 90.9%, Pitch: 0°, Yaw: 0.45°, Roll: 0°, Temperature: 10°C
Time: 1745350477, Battery: 81.8%, Pitch: 0°, Yaw: 0.5°, Roll: 0°, Temperature: 7°C
Time: 1745350478, Battery: 82.7%, Pitch: 0°, Yaw: 0.55°, Roll: 0°, Temperature: 11°C
Time: 1745350478, Battery: 83.6%, Pitch: 0°, Yaw: 0.6°, Roll: 0°, Temperature: 6°C
Time: 1745350479, Battery: 84.5%, Pitch: 0°, Yaw: 0.65°, Roll: 0°, Temperature: 10°C
Time: 1745350479, Battery: 85.4%, Pitch: 0°, Yaw: 0.7°, Roll: 0°, Temperature: 11°C
Time: 1745350480, Battery: 86.3%, Pitch: 0°, Yaw: 0.75°, Roll: 0°, Temperature: 13°C
Time: 1745350480, Battery: 87.2%, Pitch: 0°, Yaw: 0.8°, Roll: 0°, Temperature: 10°C
Time: 1745350481, Battery: 88.1%, Pitch: 0°, Yaw: 0.85°, Roll: 0°, Temperature: 5°C
Time: 1745350481, Battery: 89%, Pitch: 0°, Yaw: 0.9°, Roll: 0°, Temperature: 9°C
Time: 1745350482, Battery: 89.9%, Pitch: 0°, Yaw: 0.95°, Roll: 0°, Temperature: 13°C
Time: 1745350482, Battery: 90.8%, Pitch: 0°, Yaw: 1°, Roll: 0°, Temperature: 15°C
